epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,195.297,1.38156,1.05096,1.01526,0.78719,0.77967,0.84532,0.54341,1.21984,0.80173,0.97181,0.000415259,0.000415259,0.000415259
2,382.382,1.27269,0.74726,0.98442,0.84637,0.80646,0.88492,0.5979,1.12691,0.75059,0.95423,0.000811336,0.000811336,0.000811336
3,568.118,1.24549,0.71477,0.97517,0.8272,0.82539,0.88123,0.589,1.16073,0.75121,0.95963,0.00118679,0.00118679,0.00118679
4,753.708,1.23042,0.69876,0.9707,0.8291,0.82073,0.87781,0.59618,1.12048,0.74029,0.94661,0.00115719,0.00115719,0.00115719
5,938.748,1.20066,0.66579,0.96162,0.84445,0.84447,0.91078,0.62513,1.09835,0.68806,0.93995,0.00112625,0.00112625,0.00112625
6,1124.23,1.17309,0.64439,0.95392,0.85471,0.84001,0.90986,0.61741,1.12289,0.65343,0.94784,0.00109531,0.00109531,0.00109531
7,1308.72,1.1611,0.62891,0.94993,0.87712,0.87603,0.92881,0.65767,1.05842,0.6055,0.92805,0.00106437,0.00106437,0.00106437
8,1494.14,1.14591,0.6154,0.94361,0.87222,0.86524,0.92933,0.66044,1.04306,0.60016,0.92886,0.00103344,0.00103344,0.00103344
9,1677.97,1.13953,0.60978,0.944,0.8761,0.87733,0.92589,0.65526,1.05183,0.58844,0.92499,0.0010025,0.0010025,0.0010025
10,1861.16,1.12278,0.59441,0.93789,0.88387,0.8769,0.92985,0.67445,1.00612,0.56693,0.91527,0.000971562,0.000971562,0.000971562
11,2044.72,1.1121,0.58771,0.93484,0.89011,0.87833,0.93392,0.66806,1.02159,0.57206,0.92133,0.000940625,0.000940625,0.000940625
12,2227.36,1.10702,0.58054,0.93471,0.88862,0.87286,0.93299,0.67509,1.00169,0.56709,0.9185,0.000909688,0.000909688,0.000909688
13,2410.37,1.10401,0.57736,0.93217,0.89077,0.88029,0.93463,0.67332,1.00355,0.54617,0.91386,0.00087875,0.00087875,0.00087875
14,2593.4,1.09053,0.56742,0.92891,0.88819,0.87211,0.93303,0.68098,0.99259,0.54349,0.91242,0.000847813,0.000847813,0.000847813
15,2776.22,1.07957,0.56163,0.92697,0.88503,0.8789,0.93331,0.67108,1.01471,0.55728,0.9147,0.000816875,0.000816875,0.000816875
16,2959.34,1.07829,0.55509,0.92603,0.88653,0.88548,0.93448,0.68616,0.97981,0.53956,0.90939,0.000785938,0.000785938,0.000785938
17,3142.55,1.07121,0.55098,0.92464,0.89354,0.88375,0.93803,0.68727,0.98672,0.53733,0.90997,0.000755,0.000755,0.000755
18,3326.04,1.06303,0.54651,0.92249,0.89928,0.89255,0.94273,0.69465,0.97489,0.52367,0.90689,0.000724062,0.000724062,0.000724062
19,3509.17,1.0581,0.5426,0.92048,0.89655,0.88777,0.94177,0.69181,0.97464,0.51903,0.90624,0.000693125,0.000693125,0.000693125
20,3691.87,1.05683,0.54122,0.91999,0.89487,0.89267,0.94052,0.69343,0.96554,0.51614,0.90792,0.000662188,0.000662188,0.000662188
21,3874.33,1.04965,0.5333,0.91864,0.90134,0.89271,0.93937,0.69229,0.96825,0.51828,0.90753,0.00063125,0.00063125,0.00063125
22,4057.34,1.04272,0.52831,0.91684,0.88828,0.90304,0.93754,0.69479,0.96063,0.51147,0.90482,0.000600313,0.000600313,0.000600313
23,4240.27,1.0323,0.52229,0.91356,0.89346,0.89793,0.94048,0.69589,0.96281,0.51133,0.90471,0.000569375,0.000569375,0.000569375
