epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,271.949,1.27594,0.99108,0.99346,0.82347,0.83314,0.87606,0.58442,1.06235,0.74729,0.9366,0.000415672,0.000415672,0.000415672
2,546.182,1.16376,0.70455,0.95894,0.85613,0.84025,0.89871,0.62445,0.9993,0.64385,0.91974,0.000811739,0.000811739,0.000811739
3,817.326,1.12712,0.66665,0.94778,0.85207,0.83769,0.88914,0.61171,1.03674,0.71378,0.93506,0.00118718,0.00118718,0.00118718
4,1088.24,1.11451,0.6503,0.94545,0.87677,0.84569,0.91645,0.64999,0.96605,0.60778,0.91298,0.00115719,0.00115719,0.00115719
5,1358.62,1.08212,0.62093,0.93653,0.8781,0.85988,0.92438,0.66302,0.93448,0.60215,0.90373,0.00112625,0.00112625,0.00112625
6,1629.17,1.06031,0.59806,0.92919,0.88194,0.86435,0.92808,0.67841,0.91265,0.5586,0.89826,0.00109531,0.00109531,0.00109531
7,1899.73,1.04005,0.58102,0.92226,0.87914,0.87505,0.9258,0.6834,0.8993,0.55084,0.89496,0.00106437,0.00106437,0.00106437
8,2169.9,1.02457,0.56611,0.91864,0.88572,0.88008,0.93281,0.69152,0.89125,0.51854,0.89463,0.00103344,0.00103344,0.00103344
9,2440.7,1.01165,0.55674,0.91637,0.88761,0.86511,0.92936,0.68801,0.88982,0.52623,0.89303,0.0010025,0.0010025,0.0010025
10,2712.25,1.00155,0.54994,0.91323,0.89025,0.87748,0.93365,0.70108,0.87076,0.51182,0.88915,0.000971562,0.000971562,0.000971562
11,2983,0.99115,0.54067,0.91089,0.89077,0.88479,0.93617,0.69963,0.87415,0.51412,0.88926,0.000940625,0.000940625,0.000940625
12,3253.85,0.99004,0.53457,0.909,0.89597,0.88444,0.93946,0.70889,0.85716,0.50085,0.88416,0.000909688,0.000909688,0.000909688
13,3524.45,0.98187,0.5301,0.9079,0.89313,0.8926,0.94051,0.70893,0.85812,0.49396,0.88396,0.00087875,0.00087875,0.00087875
14,3795.16,0.9698,0.5212,0.90345,0.90532,0.88351,0.94191,0.71102,0.84954,0.492,0.88218,0.000847813,0.000847813,0.000847813
15,4065.41,0.96227,0.5143,0.90255,0.90514,0.88856,0.94211,0.71704,0.83897,0.47131,0.88126,0.000816875,0.000816875,0.000816875
16,4334.84,0.95605,0.50848,0.90152,0.90274,0.88302,0.93848,0.71304,0.84235,0.48556,0.88354,0.000785938,0.000785938,0.000785938
17,4605.07,0.94883,0.50442,0.90023,0.9071,0.88366,0.94119,0.71907,0.83371,0.47557,0.87924,0.000755,0.000755,0.000755
18,4876.16,0.94296,0.49822,0.89878,0.90157,0.89504,0.943,0.72318,0.83144,0.47407,0.87932,0.000724062,0.000724062,0.000724062
19,5146.08,0.93002,0.49032,0.89478,0.90666,0.88939,0.94144,0.72088,0.82837,0.46489,0.87671,0.000693125,0.000693125,0.000693125
20,5415.59,0.93101,0.48804,0.89589,0.90265,0.89587,0.94201,0.72039,0.83035,0.46645,0.87872,0.000662188,0.000662188,0.000662188
21,5686.01,0.92746,0.48498,0.89377,0.91201,0.89313,0.94895,0.73268,0.81052,0.45529,0.87391,0.00063125,0.00063125,0.00063125
22,5956.45,0.92029,0.48121,0.89153,0.90536,0.90139,0.94724,0.7289,0.8179,0.45494,0.8738,0.000600313,0.000600313,0.000600313
23,6227.59,0.91604,0.476,0.8891,0.90813,0.89829,0.94611,0.73073,0.81542,0.45278,0.87669,0.000569375,0.000569375,0.000569375
24,6498.51,0.91744,0.47475,0.8913,0.9074,0.89854,0.9451,0.72954,0.81125,0.45115,0.87332,0.000538438,0.000538438,0.000538438
25,6769.02,0.91127,0.4699,0.89082,0.91172,0.89515,0.94803,0.73251,0.8092,0.44861,0.87494,0.0005075,0.0005075,0.0005075
26,7040.19,0.90297,0.46452,0.88702,0.90961,0.90181,0.94742,0.7329,0.80519,0.44311,0.87349,0.000476562,0.000476562,0.000476562
27,7311.42,0.89897,0.46081,0.88735,0.91144,0.89894,0.94753,0.73474,0.80133,0.44455,0.87301,0.000445625,0.000445625,0.000445625
28,7582.08,0.89418,0.45785,0.88605,0.90673,0.90238,0.9469,0.73421,0.80121,0.44352,0.87267,0.000414688,0.000414688,0.000414688
29,7852.28,0.88588,0.45184,0.88374,0.90749,0.90146,0.94495,0.73519,0.79914,0.43913,0.87194,0.00038375,0.00038375,0.00038375
30,8124.54,0.87701,0.4474,0.88056,0.90942,0.89871,0.94781,0.73884,0.79584,0.43643,0.87235,0.000352812,0.000352812,0.000352812
31,8390.62,0.88028,0.43251,0.88407,0.90915,0.90051,0.94683,0.7352,0.80184,0.44219,0.87335,0.000321875,0.000321875,0.000321875
32,8655.46,0.87132,0.42533,0.88147,0.91227,0.8986,0.94689,0.73619,0.79866,0.44131,0.87217,0.000290937,0.000290937,0.000290937
33,8920.26,0.86094,0.41901,0.87784,0.90812,0.89984,0.94698,0.73898,0.79624,0.43653,0.87318,0.00026,0.00026,0.00026
34,9184.95,0.85572,0.41647,0.87756,0.9049,0.90136,0.94601,0.73682,0.79474,0.44012,0.87142,0.000229063,0.000229063,0.000229063
35,9449.53,0.85257,0.4124,0.87753,0.9071,0.90045,0.945,0.73783,0.79218,0.43857,0.87102,0.000198125,0.000198125,0.000198125
36,9714.63,0.84367,0.40713,0.87385,0.90762,0.90374,0.94657,0.74042,0.78915,0.43655,0.8708,0.000167188,0.000167188,0.000167188
37,9978.93,0.83622,0.40181,0.87254,0.90969,0.89832,0.94483,0.73826,0.79091,0.43782,0.87087,0.00013625,0.00013625,0.00013625
38,10242.7,0.8323,0.39886,0.87114,0.90968,0.89819,0.94503,0.73924,0.79047,0.43487,0.87183,0.000105312,0.000105312,0.000105312
