epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,187.91,1.40672,1.01626,1.04999,0.82872,0.80113,0.87798,0.56974,1.1822,0.80679,0.98228,0.000415259,0.000415259,0.000415259
2,374.723,1.26316,0.7383,0.99303,0.86021,0.83723,0.89564,0.60176,1.14515,0.70839,0.96305,0.000811336,0.000811336,0.000811336
3,560.469,1.23227,0.69989,0.97842,0.82461,0.82635,0.8767,0.60121,1.10936,0.69481,0.95519,0.00118679,0.00118679,0.00118679
4,746.009,1.21554,0.68135,0.97372,0.83377,0.85638,0.89368,0.60812,1.12345,0.67875,0.95675,0.00115719,0.00115719,0.00115719
5,931.13,1.18998,0.6516,0.96474,0.86851,0.87065,0.91953,0.64161,1.07921,0.629,0.94284,0.00112625,0.00112625,0.00112625
6,1116.96,1.16269,0.63265,0.95503,0.86834,0.84779,0.91619,0.63135,1.09883,0.64885,0.94619,0.00109531,0.00109531,0.00109531
7,1302.16,1.14803,0.61491,0.95109,0.88071,0.87308,0.92629,0.65727,1.03762,0.58406,0.92953,0.00106437,0.00106437,0.00106437
8,1487.36,1.1327,0.60312,0.94521,0.88797,0.86016,0.92747,0.65686,1.04034,0.58573,0.93453,0.00103344,0.00103344,0.00103344
9,1673.08,1.12585,0.59568,0.94475,0.87312,0.88242,0.92802,0.65792,1.04275,0.56892,0.93274,0.0010025,0.0010025,0.0010025
10,1858.48,1.11029,0.58092,0.93978,0.87106,0.87651,0.92202,0.67008,0.99661,0.55852,0.92271,0.000971562,0.000971562,0.000971562
11,2043.98,1.10098,0.57427,0.9366,0.88219,0.88703,0.93828,0.6777,1.00521,0.55395,0.92022,0.000940625,0.000940625,0.000940625
12,2229.32,1.09374,0.56526,0.93621,0.88435,0.8828,0.93233,0.6788,0.99847,0.54717,0.92116,0.000909688,0.000909688,0.000909688
13,2414.98,1.09015,0.5622,0.93385,0.88224,0.88137,0.93219,0.67551,0.99704,0.53459,0.91858,0.00087875,0.00087875,0.00087875
14,2600.56,1.0765,0.55317,0.93023,0.89291,0.87877,0.93555,0.68291,0.98628,0.54081,0.91702,0.000847813,0.000847813,0.000847813
15,2786.31,1.06746,0.54835,0.92927,0.88726,0.88884,0.93678,0.6811,0.99481,0.53283,0.91694,0.000816875,0.000816875,0.000816875
16,2971.8,1.0652,0.54246,0.92804,0.893,0.88348,0.93551,0.69061,0.97298,0.51896,0.91357,0.000785938,0.000785938,0.000785938
17,3157.37,1.05912,0.53587,0.92584,0.89935,0.88774,0.94098,0.69167,0.97991,0.51661,0.91223,0.000755,0.000755,0.000755
18,3342.9,1.04961,0.53118,0.92345,0.89292,0.88423,0.93368,0.68833,0.97236,0.52294,0.91045,0.000724062,0.000724062,0.000724062
19,3528.06,1.04283,0.5258,0.92097,0.89769,0.88407,0.94093,0.69459,0.96628,0.51206,0.9113,0.000693125,0.000693125,0.000693125
20,3713.45,1.04356,0.52572,0.92084,0.8912,0.89053,0.93861,0.6964,0.95544,0.50389,0.90997,0.000662188,0.000662188,0.000662188
21,3899.02,1.03592,0.51888,0.91967,0.89091,0.89635,0.9413,0.69462,0.9664,0.50915,0.91188,0.00063125,0.00063125,0.00063125
22,4084.37,1.03005,0.51342,0.91761,0.88401,0.89651,0.93664,0.69173,0.96342,0.50477,0.91047,0.000600313,0.000600313,0.000600313
23,4269.59,1.01788,0.50726,0.91431,0.90246,0.88902,0.93909,0.70012,0.94992,0.50034,0.9075,0.000569375,0.000569375,0.000569375
24,4455.18,1.01717,0.50688,0.91354,0.90016,0.8914,0.94048,0.70106,0.94774,0.49622,0.90608,0.000538438,0.000538438,0.000538438
25,4640.54,1.01224,0.50498,0.91199,0.89276,0.8971,0.9389,0.69975,0.94604,0.49477,0.9062,0.0005075,0.0005075,0.0005075
26,4825.52,0.99811,0.49326,0.90983,0.8995,0.89323,0.93981,0.70145,0.94664,0.49445,0.90652,0.000476562,0.000476562,0.000476562
27,5010.8,1.00304,0.49343,0.90892,0.89917,0.8931,0.93994,0.70173,0.94431,0.48946,0.90434,0.000445625,0.000445625,0.000445625
28,5196.29,0.99384,0.48715,0.90819,0.90241,0.88897,0.94053,0.70446,0.94103,0.48786,0.90633,0.000414688,0.000414688,0.000414688
29,5381.91,0.98059,0.48072,0.90513,0.89728,0.89145,0.94057,0.70582,0.9372,0.48563,0.90316,0.00038375,0.00038375,0.00038375
30,5567.56,0.99042,0.48281,0.90597,0.89763,0.8941,0.94008,0.70624,0.93628,0.48471,0.90268,0.000352812,0.000352812,0.000352812
31,5749.42,0.9792,0.46356,0.90666,0.89976,0.89407,0.94213,0.70694,0.93891,0.48838,0.90233,0.000321875,0.000321875,0.000321875
32,5930.29,0.97489,0.45797,0.90463,0.90215,0.89202,0.94139,0.70743,0.93912,0.48525,0.90263,0.000290937,0.000290937,0.000290937
33,6111.61,0.96643,0.45347,0.90188,0.89781,0.89454,0.94061,0.70687,0.93777,0.4843,0.90241,0.00026,0.00026,0.00026
34,6292.02,0.96003,0.44893,0.90155,0.90481,0.89514,0.9417,0.70725,0.93769,0.48114,0.9022,0.000229063,0.000229063,0.000229063
35,6472.96,0.95352,0.44395,0.89886,0.90181,0.89314,0.94121,0.70838,0.93657,0.47976,0.90209,0.000198125,0.000198125,0.000198125
