epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,239.418,1.30088,0.9664,1.02312,0.82906,0.82434,0.89062,0.59949,1.07033,0.70032,0.95259,0.000415672,0.000415672,0.000415672
2,478.441,1.15412,0.68958,0.96376,0.84735,0.83275,0.90031,0.63324,0.9972,0.64852,0.92733,0.000811739,0.000811739,0.000811739
3,715.986,1.11626,0.65347,0.9505,0.84995,0.83015,0.89764,0.63139,1.00331,0.65193,0.92766,0.00118718,0.00118718,0.00118718
4,952.815,1.10242,0.63595,0.94789,0.87758,0.87364,0.92957,0.6714,0.9446,0.57096,0.91078,0.00115719,0.00115719,0.00115719
5,1190.38,1.06664,0.60382,0.93763,0.89061,0.85968,0.92126,0.66937,0.94279,0.58389,0.9117,0.00112625,0.00112625,0.00112625
6,1427.49,1.04849,0.5857,0.932,0.89072,0.86888,0.9259,0.68593,0.91249,0.54482,0.90395,0.00109531,0.00109531,0.00109531
7,1664.97,1.02855,0.56431,0.92462,0.87592,0.86416,0.92092,0.68132,0.9012,0.54827,0.90085,0.00106437,0.00106437,0.00106437
8,1902.55,1.01228,0.55443,0.9209,0.88045,0.87769,0.92908,0.69254,0.89421,0.51973,0.89897,0.00103344,0.00103344,0.00103344
9,2139.89,1.00066,0.54464,0.91915,0.88497,0.87544,0.93286,0.6916,0.88974,0.51661,0.89865,0.0010025,0.0010025,0.0010025
10,2377.32,0.99049,0.53603,0.91577,0.89357,0.88455,0.93454,0.69857,0.87828,0.51057,0.89594,0.000971562,0.000971562,0.000971562
11,2614.29,0.98004,0.5266,0.913,0.89606,0.88774,0.93921,0.70251,0.87039,0.50119,0.8929,0.000940625,0.000940625,0.000940625
12,2851.51,0.97739,0.52016,0.91072,0.90317,0.88507,0.93921,0.7136,0.8466,0.4811,0.88735,0.000909688,0.000909688,0.000909688
13,3089.05,0.96851,0.51514,0.90972,0.90216,0.88197,0.94036,0.71369,0.8494,0.47662,0.88646,0.00087875,0.00087875,0.00087875
14,3326,0.9572,0.50704,0.90552,0.90223,0.88804,0.94114,0.71293,0.85335,0.48466,0.8879,0.000847813,0.000847813,0.000847813
15,3563.24,0.9501,0.49877,0.90437,0.90198,0.8904,0.94056,0.71749,0.83843,0.47491,0.88575,0.000816875,0.000816875,0.000816875
16,3800.08,0.94174,0.49347,0.90305,0.90487,0.88687,0.94146,0.7174,0.83229,0.46538,0.88504,0.000785938,0.000785938,0.000785938
17,4037.43,0.93451,0.48873,0.90114,0.90171,0.89468,0.94297,0.72023,0.83957,0.46738,0.88599,0.000755,0.000755,0.000755
18,4274.28,0.92815,0.48257,0.89962,0.90158,0.88902,0.94353,0.71987,0.83773,0.46525,0.88486,0.000724062,0.000724062,0.000724062
19,4510.91,0.91588,0.47364,0.89643,0.9022,0.89345,0.94109,0.71968,0.82645,0.45925,0.88347,0.000693125,0.000693125,0.000693125
20,4747.67,0.91897,0.47355,0.89757,0.9056,0.89009,0.94051,0.71881,0.83086,0.4636,0.88505,0.000662188,0.000662188,0.000662188
21,4984.97,0.91351,0.46862,0.89554,0.9044,0.89436,0.94416,0.72674,0.81351,0.44877,0.88028,0.00063125,0.00063125,0.00063125
22,5221.74,0.90712,0.46617,0.89333,0.91038,0.89414,0.94598,0.72613,0.82308,0.44696,0.8804,0.000600313,0.000600313,0.000600313
23,5458.84,0.90054,0.45943,0.89042,0.90477,0.89721,0.94306,0.72599,0.81497,0.44796,0.88,0.000569375,0.000569375,0.000569375
24,5695.66,0.90178,0.45767,0.89245,0.90375,0.89158,0.94324,0.72308,0.81778,0.44836,0.87968,0.000538438,0.000538438,0.000538438
25,5932.61,0.89587,0.45273,0.89209,0.90389,0.89533,0.94197,0.72818,0.8073,0.44759,0.87846,0.0005075,0.0005075,0.0005075
26,6169.86,0.88871,0.44817,0.88846,0.91121,0.89289,0.94502,0.72862,0.81232,0.43818,0.87867,0.000476562,0.000476562,0.000476562
27,6407.02,0.88361,0.44375,0.88838,0.89964,0.90385,0.94242,0.72866,0.80786,0.44086,0.87685,0.000445625,0.000445625,0.000445625
28,6644.26,0.87842,0.4405,0.88682,0.91067,0.89412,0.94496,0.73294,0.80148,0.43446,0.87637,0.000414688,0.000414688,0.000414688
29,6881.39,0.8698,0.43431,0.88431,0.90392,0.90144,0.94469,0.73421,0.80005,0.42884,0.87727,0.00038375,0.00038375,0.00038375
30,7118.64,0.86104,0.4299,0.88173,0.91079,0.89965,0.94548,0.7358,0.79741,0.42965,0.87534,0.000352812,0.000352812,0.000352812
31,7351.91,0.86413,0.4145,0.88426,0.90964,0.89487,0.9424,0.73167,0.80124,0.43559,0.8758,0.000321875,0.000321875,0.000321875
32,7584.22,0.85429,0.40765,0.88202,0.90966,0.89444,0.94251,0.73148,0.80263,0.43694,0.87716,0.000290937,0.000290937,0.000290937
33,7816.22,0.84357,0.40252,0.87729,0.90289,0.90117,0.94259,0.73576,0.79422,0.43443,0.87564,0.00026,0.00026,0.00026
34,8048.17,0.8364,0.39837,0.87743,0.90693,0.90147,0.94429,0.73617,0.79425,0.43265,0.8753,0.000229063,0.000229063,0.000229063
35,8280.29,0.83532,0.3952,0.87756,0.90376,0.90126,0.94192,0.73348,0.79886,0.43318,0.8768,0.000198125,0.000198125,0.000198125
36,8512.07,0.82579,0.39028,0.8742,0.90586,0.90088,0.94285,0.73655,0.79503,0.43226,0.87656,0.000167188,0.000167188,0.000167188
37,8743.99,0.81838,0.38472,0.8723,0.90801,0.90054,0.94154,0.7356,0.79334,0.42877,0.87528,0.00013625,0.00013625,0.00013625
38,8975.98,0.81526,0.38293,0.87138,0.90418,0.90261,0.94325,0.73688,0.79376,0.42875,0.87636,0.000105312,0.000105312,0.000105312
39,9208.12,0.80963,0.37805,0.86916,0.90741,0.89914,0.94248,0.73725,0.79297,0.42888,0.87683,7.4375e-05,7.4375e-05,7.4375e-05
40,9439.66,0.80446,0.37539,0.86853,0.90716,0.89868,0.94173,0.7361,0.7933,0.43103,0.87659,4.34375e-05,4.34375e-05,4.34375e-05
